company_name,industry_type
대한항공,"항공 여객 운송업,백화점·유통·도소매,도시락류 제조업,신용조합"
책임감은 모든 일의 기본,
LIG손해보험,은행·금융
이랜드월드,"근무복, 작업복 및 유사의복 제조업,쇼핑몰·오픈마켓·소셜커머스,섬유·의류·패션,,백화점·유통·도소매"
한화생명	합격,
현대해운,"그 외 기타 운송관련 서비스업,외항 화물 운송업"
대한주택보증,주거용 부동산 관리업
파고다교육그룹,
한국전력공사(고졸),
종근당,"제약·보건·바이오,완제 의약품 제조업,건강기능식품 제조업,비주거용 건물 임대업,,백화점·유통·도소매"
이노와이어리스,"네트워크·통신서비스,기타 무선 통신장비 제조업"
LG 유플러스,"무선 및 위성 통신업,통신.방송장비 및 부품 도매업,통신기기 소매업,백화점·유통·도소매"
한국무역보험공사,기타 보험 및 연금관련 서비스업
웰컴저축은행,상호저축은행 및 기타 저축기관
한국철도공사,"기타 음ㆍ식료품 위주 종합 소매업,승강기 제조업,음식료·외식·프랜차이즈,철도 여객 운송업"
에이스코어,
한국청소년활동진흥원,그 외 기타 분류 안된 사업지원 서비스업
미래아이콘,광고·홍보·전시
보령메디앙스,"치약, 비누 및 기타 세제 제조업"
ART BOX,"사무 및 회화용품 제조업,,정비·A/S·카센터,백화점·유통·도소매,방송 프로그램 제작업"
메트라이프,생명 보험업
CJ헬로비전,전기·전자·제어
HT건설,주거용 건물 개발 및 공급업
한라건설,
대구은행,국내은행
CJ E&M,물류·운송·배송
현재자동차,학원·어학원·교육원
GS칼텍스,"원유 정제처리업,문화·공연·예술,정비·A/S·카센터,,무역·상사"
AJ렌터카,"자동차 임대업,중고 자동차 판매업,일반 화물자동차 운송업"
KDB산업은행,은행·금융
원자력병원,"의학 및 약학 연구개발업,음식료·외식·프랜차이즈"
입 사 지 원 서,
오일뱅크,"액체연료 및 관련제품 도매업,"
코웨이,그 외 기타 달리 분류되지 않은 개인 서비스업
한국환경공단,"공기업·공공기관,"
한국보훈복지의료공단,"제약·보건·바이오,보건 및 복지 행정,공기업·공공기관"
바이오스페이스,
풍림푸드,"그 외 기타 식료품 제조업,음식료·외식·프랜차이즈"
숭실대학교,"학원·어학원·교육원,공기업·공공기관,학교(초·중·고·대학·특수),,기타 전문 서비스업"
국민은행,"국내은행,상호저축은행 및 기타 저축기관,은행·금융,"
이베이코리아,"응용 소프트웨어 개발 및 공급업,컴퓨터 및 주변장치, 소프트웨어 도매업,,경영 컨설팅업,쇼핑몰·오픈마켓·소셜커머스,기타 전자부품 제조업,솔루션·SI·CRM·ERP,상품 종합 도매업"
한국중부발전,"화학·에너지·환경,전기·전자·제어,공기업·공공기관"
근로복지공단,"산업재해 및 기타 사회보장 보험업,,의료(병원분류별)"
우리은행,"국내은행,,그 외 기타 금융 지원 서비스업"
OCI,"화학·에너지·환경,다이오드, 트랜지스터 및 유사 반도체소자 제조업,기타 전기 변환장치 제조업,기타 기초 무기 화학물질 제조업,상용 인력 공급 및 인사관리 서비스업,,기타 화학물질 및 화학제품 도매업"
전영화전,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업
LG전자 VC본부,
켑코알스톰피이에스,
마팔하이테코,자동차·조선·철강·항공
한국시설안전공단,기타 일반 공공 행정
