name,length
싫어하는 사람과 함께 일해야만 한다면 어떻게 대처하겠습니까? 사례가 있다면 사례 위주로 답변,51
적극적 경청이란 단어를 어떻게 정의하고 있습니까?,27
우리 회사의 고객은 누구 입니까?,18
4번의 고객을 만족시키기 위한 가장 중요한 요소는 무엇입니까?,34
귀하가 함께 일하고 싶지 않은 사람(혹은 스타일)에 대해서 기술해 주십시오.,42
귀하가 함께 일하고 싶은 사람(혹은 스타일)에 대해서 기술해 주십시오.,39
"의견 대립이 있을 때 귀하는 직접적으로 혹은 간접적으로 사람들과 맞서는 편입니까, 아니면 상황을 유연하게 흘러가도록 내버려두는 스타일입니까?",78
가장 최근에 ‘실언했던(말실수)’일에 대해서 기술해 주십시오,33
상대방을 배려하며 자기가 맡은 일에 책임을 질 줄 아는 인재입니다.,37
지원 직무에 대한 본인의 경험 및 최고실적에 대한 구체적인 사례 [1300 Bytes 이내] *,53
EBS 및 EBS 프로그램에 대한 본인의 생각 [1300 Bytes 이내] *,43
교내생활,4
문제의 본질을 파악하고 합리적으로 해결하는 문제해결 역량	 본인평가점수 : 100점,46
자신의 생각과 의견을 명확하게 전달하고 상대방의 의견을 경청하는 커뮤니케이션 역량	 본인평가점수 : 100점,60
동료들과 협력하고 전체를 위하여 노력하는 팀워크 역량	 본인평가점수 : 100점,44
"타인과 함께 협동하여 문제를 해결한 경험과 그 과정에서 본인의 역할, 갈등, 극복을 위한 노력 등을 기술하시오. [프로젝트, 여수세계박람회]",78
"우리 공단 입사에 관심을 가지게 된 이유는 무엇이며, 우리 공단에서 업무 수행을 위하여 갖춰야 할 역량은 무엇이라고 생각하십니까?(200자)",78
우리 공단에 입사 지원한 동기 및 입사 후 실천 하고자 하는 목표를 다른 사람과 차별화된 본인의 역량과 결부시켜서 작성해 주십시오.(300자),79
"본인의 꿈(목표)과 관련하여 왜 그것을 꿈꾸었으며, 그 꿈을 실현하기 위해 어떠한 노력을 했으며, 그 결과에 대하여 작성해 주십시오.(500자)",80
"학교 생활외에 자신의 발전을 위해 활동한 경험(동호회, 사회봉사활동 등)을 커뮤니케이션, 팀웍, 리더십 등 주요 역량을 중심으로 작성해 주십시오. (500자)",88
"본인이 지금까지 살아오면서 가장 어려웠던 문제나 난관에 부딪힌 사례와 그 일을 어떻게 극복하였으며, 그 결과를 통해 느낀 점을 작성해 주십시오.(600자)",86
귀하가 회사를 선택하는 기준은 무엇이며 왜 그 기준에 AMOREPACIFIC이 적합한지 기술하시오. (필수입력사항 최대 800 최소 100),78
"현재 귀하의 가장 부족한 역량은 무엇이며, 역량개발을 위해 어떤 활동과 노력을 하고 있는지 기술하시오. (필수입력사항 최대 600 최소 100)",80
지원한 직무를 수행함에 있어 귀하가 가지고 있는 강점에 대해 경험을 중심으로 기술하시오. (필수입력사항 최대 600 최소 100),72
아모레퍼시픽 그룹은 아름다움으로 세상을 변화시키겠다는 특별한 소명을 가지고 있습니다.,47
아모레퍼시픽을 통하여 귀하가 이루고자 하는 비젼(꿈)은 무엇입니까? (필수입력사항 최대 600 최소 100),60
신용보증기금에 입사 지원한 동기 및 내가 꿈꾸는 20년 후 나의 모습은 무엇인지 기술하시오. 1000Byte 이내,63
지금까지 살아오면서 가장 후회하는 선택과 그 이유 및 다시 선택의 기회가 있다면 어떠한 선택을 할지 기술하시오. 1000Byte 이내,74
성격의 장단점 및 생활신조,14
어떤 일에 몰두해 본 경험과 그 결과는 어떠했는지 서술하세요.,34
"지원 직무 수행을 위해 필요한 역량이 무엇이며, 어떤 준비를 했는지 구체적 사례를 중심으로 서술하세요.",57
나의 장점을 살려 회사에 어떻게 기여할 수 있을 지와 지원 직무에서 나의 비전을 적으세요.,50
마지막으로 꼭 하고 싶은 말을 자유로이 서술하세요.,28
"전공(과목) 중에서 가장 잘 할 수 있고 자신 있는 분야는 무엇이며, 그 이유를 서술하여 주십시오",54
단체(혹은 조직)에서 갈등을 겪었던 경험에 대하여 서술하여 주십시오,37
"자신이 경험했던 가장 큰 기쁨과 슬픔은 무엇이며, 그 이유를 각각 서술하여 주십시오",46
"자신의 소신이나 좌우명을 기술하고, 평소 생활하면서 소신이나 좌우명이 흔들렸던 경험이 있으면 기술해 주십시오.(500자)",67
지금까지 살아오면서 기존의 제도나 시스템을 지속적으로 개선함으로써 본인이 속한 조직에 새로운 변화를 적극적으로 주도하여 조직의 성과를 향상시켰던 경험에 대해 기술해 주십시오.(500자),103
입사10년 후의 모습을 그려보십시오. 그 목표를 달성하는데 있어서 우리공사에 입사하는 것이 어떤 의미가 있는지 기술해 주십시오. (500자),78
과거 본인의 의사결정 중 최선/최악의 결정 사례를 한가지씩 기입해 주십시오.(500자),48
공기업 근무자에게 가장 적합한 인성덕목과 역량을 한가지씩 근거를 들어 기술해 주십시오.(500자),54
"지원자가 가장 존경하는 우리나라 역사상 위인을 제시하고, 이 인물에 대한 장·단점을 나름대로 분석하여 제시해주십시오.(500자)",71
우리나라의 역사적 사건 중 지원자가 가장 중요하게 생각하는 것을 제시하고 그 이유에 대해 기술해주십시오.(500자),64
지원자 본인이 현대모비스에 적합한 인재라는 것을 가장 잘 보여주는 사례를 적어주시기 바랍니다.,52
지원 분야에 대한 지원자 본인의 직무 전문성을 가장 잘 보여주는 사례를 적어주시기 바랍니다.,51
지원자 본인이 동료들과 협력적으로 업무를 수행하는 사람임을 가장 잘 보여주는 사례를 적어주시기 바랍니다,57
"이제까지 가장 강하게 소속감을 느꼈던 조직은 무엇이었으며, 그 조직의 발전을 위해 헌신적으로 노력했던 것 중 가장 기억에 남는 경험은 무엇입니까? 개인적으로 더 많은 노력을 기울였던 일과 그 때 했던 행동과 생각, 결과에 대해 최대한 구체적으로 작성해 주십시오. (1,000자, 10단락 이내) (1000 자 10 단락 이내)",182
추진프로젝트,6
성격의 장/단점,8
전공분야,4
직장생활의 목표 및 장래희망 등,17
"본인이 생각하는 현대글로비스 인재가 갖추어야 할 자질은 무엇이며, 구체적인 사실과 경험을근거로 10점만점으로 본인을 평가하십시오.",72
"현대글로비스가 처한 사업 환경[물류/CKD/트레이딩/해운 등 당사 사업영역 중 택1] 을 설명하고, 본인 희망 직무 관점에서 추진해야 할 전략을 기술하십시오.",88
"10년 후, 현대글로비스에 대한 가치를 자신만의 방법으로 평가하여 기술하십시오.",44
"현대글로비스 인턴십 과정을 통해 본인이 이루고 싶은 목표와, 현대글로비스에  공헌할 수 있는 바를 기술하십시오.",62
"현대글로비스 및 희망 직무 분야에 지원한 동기는 무엇이며, 본인이 적합하다고 생각하는 이유를 구체적으로 기술하십시오.",65
"공동의 이익을 위하여 나에게 예상되는 손해, 피해를 감수하고 일을 수행한 경험과 그에 따른 결과 및 느낌 기술. (500자)",69
KEPCO에 지원하기 위하여 귀하께서 특별히 준비한 것이 있다면 구체적으로 소개. (500자),52
"학교에서 습득한 전공 또는 기타 지식을 연계, 활용하여 최근 한전이 직면하고 있는 현안과 문제를 개선 또는 해결 할 수 있는 방안을 기술. (500자)",84
"여행 - 국제적 교류로 넓은 시야를 갖고 싶어 인도, 베트남과 같은 동남아 배낭여행을 하며 다른 문화를 경험하고 포용력을 길렀습니다.",74
"공부 - 깊이 있고 풍부한 지식을 쌓기 위해 영어를 전공으로 선택, 외국자료를 활용하고 부가적으로 오픽 IH 를 얻었습니다.",69
자신의 책임하에 어떤 일을 시작부터 결과까지 주도적으로 진행했었던 경험에 대해 기술해주시기 바랍니다.,56
다른 사람들과의 팀웍/협력/존중을 바탕으로 좋은 결과를 얻을 수 있었던 경험에 대해 기술해주시기 바랍니다.,59
"지금까지 가장 보람을 느꼈던 일, 그 사유 및 그로부터 배우고 느낀 점을 쓰시오.",45
"자신의 강점과 강점을 강화하기 위한 노력, 단점과 단점을 고치기 위한 사례를 기술하시오.",49
기존과는 차별화된 방식으로 성공적인 결과를 얻은 경험에 대해 기술하시오.,40
"자신에게 주어졌던 일 중 가장 어려웠던 경험과 극복하기 위한 노력, 배운점을 기술하시오.",49
경험과 경력,6
인재상,3
입사 후 이루고 싶은 목표는 무엇이며 목표를 이루기 위하여 어떠한 계획이 필요하다고 생각하는지 기술하세요.,59
최근 5년 이내 본인이 소속된 조직의 발전을 위해 가장 많은 기여를 했다고 자부할 수 있는 경험에 대해 작성하여 주십시오. 1000,73
최근 5년 이내 다른 사람들이 지나치거나 묵인한 문제를 해결하기 위해 노력했던 경험에 대해 작성하여 주십시오. 1000,66
최근 5년 이내 자신의 부족한 점을 보완하기 위해 6개월 이상의 지속적인 노력을 기울였던 경험에 대해 작성하여 주십시오. 1000,72
한국가스안전공사에 지원한 동기를 간략하게 작성하여 주십시오. 500,37
회사 및 해당직무에 지원하게 된 동기와 입사 후 회사에서 이루고 싶은 중장기적 목표에 대해 구체적으로 기술해 주십시오.,66
"공동의 목표를 달성하기 위해 타인과 협업했던 경험과 그 과정에서 본인이 수행한 역할, 그리고 해당 경험을 통해 얻은 것은 무엇인지 구체적으로 기술해 주십시오.",88
"예상치 못한 문제의 발생으로 계획대로 일이 진행되지 않았을 때, 책임감을 가지고 적극적으로 문제를 해결한 경험과, 그 경험을 통해 얻은 것은 무엇인지 구체적으로 기술해 주십시오.",99
본인의 경험 중 지원한 직무와 관련하여 가장 특별하고 인상 깊었던 경험에 대해 구체적으로 기술해 주십시오.,59
"직무경험(장,단점)",10
남과 차별화되는 나만의 강점 또는 경험을 3가지 소개해 주십시오. (400자 이내),46
"삶을 통해 이루고 싶은 인생의 비전 또는 목표 3가지를 우선순위 순으로 적어 주십시오. 삶의 비전과 목표가 명확한 사람은 어려운 상황에서도 흔들리지 않기 때문에 자신의 목표와 비전을 구체적으로 제시하여야 하는 항목입니다. 개인적인 목표만을 강조하기 보다는 직장 내에서의 비전,  사회에서의 비전도 함께 제시하여야 합니다. 반드시 데상트코리아의 경영이념과 인재상, 자신이 지원하는 직무를 고려하여 작성하세요.(400자 이내)",236
데상트코리아 입사를 희망하는 이유는 무엇입니까 (400자 이내),35
"데상트코리아의 Core Value(DECA)중, 본인의 경험을 통해 가장 공감하는 항목을 1가지 선택하고 그 이유 및 사례를 기술하십시오.",77
"해당직무에 지원한 이유와 본 직무를 수행하기 위한 구체적인 준비 및 노력과정을 설명하고, 직무를 통해 이루고 싶은 목표를 기술하십시오. (400자 이내)",85
"당신이 제출한 소위 “스펙(학교, 학점, 전공, 활동, 어학 등)”을 제외하고 데상트코리아가 당신을 채용하기 위해 알아야 할 것이 있다면 무엇이며, 그 이유를 기술하십시오.",96
지원분야(직무) 준비한 과정·개인의 경험을 토대로 구체적 기술,34
KCC인재상 중 자신에게 가장 부합하는 항목을 선택하여 개인의 경험과 함께 구체적으로,47
"본인이 지원하는 직무에 적합하다고 생각하시는 이유(본인의 경쟁력)와 입사 후 목표와 그 목표를 위한 계획(무엇을 어떻게 준비해 왔고 어떻게 기여할 것인지)을 구체적으로 기술1,000 bytes",107
"서울도시철도공사 직원이 갖추어야 할 자질(덕목) 세 가지를 제시하고 이를 함양하기 위해 기울인 노력과 그 성과를 기술(구체적 상황, 본인이 취한 생각과 행동, 그에 따른 결과, 주변의 반응 등 제시) 1,000 bytes",123
"지금까지 자신이 열정을 다하여 이루어낸 가장 큰 변화에 대해 당시 상황, 자신의 행동, 결과 등을 바탕으로 구체적으로 기술 1,000 bytes",80
"우리공사에 대한 이미지 또는 최근 이슈와 관련하여 본인이 중요하다고 생각되는 것을 선택한 후 이를 어떻게 발전 또는 개선 보완할 수 있을지 창의적이고 혁신적인 아이디어 제안(고객서비스, 안전운행, 편의시설 등) 1,000 bytes",129
"새로운 환경이나 조직에서 갈등을 겪었던 경험과 이를 성공적으로 극복했던 사례(주위 동료와의 소통을 위한 노력 등)와 상황이 어려울 때 스스로 성취동기를 높이거나 스트레스를 관리하는 요소가 있다면 무엇입니까? 1,000 bytes",127
"기타 상기 항목에서 기재하지 못한 내용 및 특이사항을 자유롭게 기술(성격의 장단점, 자기 PR, 특기사항 등) 1,000 bytes",73
본인이 한화케미칼에서 일하고 싶은 구체적인 이유를 기술해주세요.,35
본인이 지원한 직무를 하고 싶은 이유와 본인이 그 직무에 어떻게 적합한지 기술해주세요.,48
본인이 삶을 살아가는 데에 있어 가장 중요시 여기는 가치와 그 이유를 기술해주세요.,46
"H사원은 성실하고 꼼꼼하며, 끈기를 가지고 결과를 내는 타입이며, C사원은 순발력 있고, 일처리가 빠르며, 책임감이 강한 타입입니다. 똑같지는 않더라도 본인이 누구의 성향에 더 가까운 편인지 이유와 함께 구체적으로 기술해주세요.",127
"본인이 가장 우선적으로 생각하는 삶의 요소(신념, 신앙, 가족, 자유, 개인의 삶, 행복 등) 중 2가지를 선정하고 그 이유를 설명하세요. [총 500자 이내 분량]",92
"입사지원시 고려하는 기업의 이미지를 채용브랜드라고 한다면, 신한은행 채용브랜드의 강점과 약점은 무엇인지 기술하고 채용브랜드 강화를 위한 당신만의 멋진 아이디어를 제안해 보세요.[총 500자 이내 분량]",112
신한은행 입행을 위해 노력했던 내용과 그 결과 등에 대해 기술해 주세요. (2000 Bytes 이내),56
"최근 대형은행의 합병, 인터넷 은행의 등장 등 국내 은행권 경쟁이 심화되고 금융시장 환경이 급변하고 있는 상황입니다. 이런 환경에서 현재 신한은행의 장점과 단점을 기재하고 신한은행이 향후 취해야 할 전략에 대해서 기술해 주세요. 2000 Bytes 이내",141
"신한은행의 핵심가치와 관련 있는 인문학 서적을 선택하고, 그 책을 선택한 이유와 책에 대한 본인의 생각을 기술해 주세요. 2000 Bytes 이내",81
"한국산업단지공단에 지원한 동기(관심을 가지게 된 계기, 시기 등)와 입사 후 실천하고자 하는 목표를 차별화된 본인의 역량과 결부시켜 기술해 주십시오. 언제부터 한국산업단지공단에 관심을 가지게 되었으며, 그 계기는 무엇인지 구체적으로 기술해 주십시오. (800자)",146
"귀하가 우리 공단에 기여할 수 있는 적합한 인재로서 보유한 능력은 무엇이며, 그 능력을 개발하기 위하여 어떤 노력을 하였습니까? (800자)",78
자신이 생각하는 효과적인 의사소통 방법에 대해 기술해 주십시오. (800자),42
높은 수준의 목표를 설정하고 이를 달성하기 위해 노력했던 경험에 대해 기술해 주십시오. (800자),55
경력 및 특기사항,9
성격의 장단점 및 생활신조 [100자(200byte) 이상 600자(1200byte) 이내],51
주요경력/업무강점 등,11
"본인의 지원직무를 위해 필요한 역량은 무엇이며, 이 역량을 갖추기 위한 노력이나 자신만의 특별한 경험을 기술하여 주십시오.",68
포스코에 지원하게 된 동기에 대해 기술하여 주십시오.,29
[의사소통능력] 자신의 생각이나 의견을 상대방에게 성공적으로 설득했던 경험을 상황 – 행동 - 결과 중심으로 구체적으로 기술하시오. (400 자),81
"[자원관리능력] 제한된 자원(예: 시간, 비용, 인력 등)에도 불구하고 목표를 달성했던 경험을 상황 – 행동 – 결과 중심으로 구체적으로 기술하시오. (400 자)",91
[대인관계능력] 자신이 활동했던 조직이나 단체에서 다른 사람과 갈등상황이 생겼을 때 그 문제를 효과적으로 해결했던 경험을 상황 – 행동 – 결과 중심으로 구체적으로 기술하시오. (400 자).,107
성격소개(장/단점),10
"기타사항(특기, 대외수상경력,해외봉사활동 등) 100~500자",34
"최근 한국철도공사의 주요 이슈에 대해 한 가지(선택)를 언급하고, 그것에 대한 본인의 의견을 기술하십시오..",60
여러분이 예상하는 2020년 문화 트렌드는 무엇인가요?,30
학교생활 - 노래 부르는 남자 박원석입니다.,24
사회봉사 - 나도 항상 상대방이 될 수 있다.,25
연수경험 - 공통의 목표에 최선을 다하겠습니다.,26
업무의 강점,6
성취감을 이룬 경험,10
생활신조 및 성격의 장단점,14
교내외 활동(경력),10
희망직무를 지원한 이유와 직무를 수행하기 위해 어떠한 노력이나 경험을 하였는지 구체적으로 작성해주시기 바랍니다.,62
본인의 장점과 단점에 대해 작성하고 입사 후 어떻게 활용할 것인지 작성해주시기 바랍니다.,49
다른 지원자들보다 본인이 반드시 채용되어야 하는 이유를 2가지 이상 작성해주시기 바랍니다.,50
"CJ제일제당과 해당 직무에 지원한 동기는 무엇인가요? ① CJ제일제당이 아니면 안 되는 이유 ② 직무에 관심 갖게 된 계기 반드시 포함하여 구체적으로 작성해주세요. (1,000자 이내)",103
"한국산업단지공단에 지원한 동기(관심을 가지게 된 계기, 시기 등)와 지원한 분야의 업무를 왜 하고 싶은지 기술해 주십시오.",68
"환경 변화에 맞추어 단기, 장기로 자기개발목표를 세우고 이를 실천하였던 경험에 대하여 기술해 주십시오.",57
자신이 생각하는 효과적인 의사소통 방법에 대해 기술해 주십시오.,35
"어떠한 일(프로젝트, 연구활동, 기타과업 등)을 추진하면서 기존과 다른 관점으로 접근하여 문제를 해결하였던 경험이 있다면 아래 항목에 따라 기술해 주십시오.",87
"우리공단 4가지 인재상은 ‘창조적 전문인’, ‘혁신적 협력인’, ‘미래지향적 세계인’, ‘지역사회 나눔인’입니다. 인재상 하나를 선택, 본인이 그간 수행한 다양한 경험활동과 어떻게 부합하는지 기술해 주십시오.",116
완수하기 어려운 상황에도 불구하고 맡은 바를 끝까지 달성하고자 노력했던 경험에 대해 서술해 주십시오. (구체적인 상황/ 가장 힘들었던 점/ 노력의 수준 및 기간과 그 결과가 잘 드러나도록 800자 이내로 기술),117
복잡한 문제를 논리적으로 접근하여 해결했던 경험에 대해 서술해 주십시오. (발생한 문제와 그 난이도/ 문제를 분석했던 자신만의 기준이나 체계/ 구체적인 해결책 및 결과 가 잘 드러나도록 800자 이내로 기술),116
다른 사람들과 적극적으로 협조하여 성과를 낸 경험에 대해 서술해 주십시오. (구체적인 상황/ 조직 혹은 집단의 구성 및 규모/ 구체적인 역할/ 추가로 들인 노력의 수준과 그 결과가 잘 드러나도록 800자 이내로 기술),121
[경험기술서] 지원서에 기술한 경험사항(경력이 있으시면 경력사항 기재)에 대해서 상세히 작성해 주십시오. - 본인이 수행한 업무(활동)와 결과를 구체적으로 작성해 주십시오.,96
"성격 및 장, 단점",10
경력 및 특이사항,9
자신에게 가장 큰 영향력을 미친 단체나 모임에서 수행했던 역할과 느낀 점들에 대해 적어주십시오.,53
"남양유업에 지원한 동기는 무엇이며, 본인이 지원직무에 적합한 이유를 경험, 특기, 준비 정도 등을 바탕으로 적어주십시오.",67
남양유업의 인재상 중 자신과 부합하는 것을 선택하고 그 이유를 과거 경험에 근거하여 적어주십시오.,54
본인의 성격은 어떤 유형입니까? 그렇게 판단하는 사례를 들어 적어주십시오.,41
본인의 가치관/생활신조/성격/장점/재능을 구체적으로 작성하여 주십시오. (1000자),47
어떤 문제에 대해 체계적인 계획을 세워 해결했던 경험을 작성해 보십시오.,40
어떤 사안에 대해 이해관계자들과 우호적 관계를 형성해 본 경험을 작성해 보십시오.,45
"다양한 경로를 통해 필요한 자료 및 정보를 수집하고, 이를 신속하게 정리하여 활용하였던 경험을 작성해 보십시오.",62
삼성취업을 선택한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하시오(700자),45
최근 사회이슈중 중요하다고 생각되는 한가지를 선택하고 이에 관한 자신의 견해를 기술,46
자신이 가진 열정을 발휘하여 성치감을 느꼈던 경험을 기술하십시오.,36
"대학시절 이루고 싶은 자신의 목표는 무엇이었으며, 그 목표를 설정하게 된 이유를 기술하십시오.",52
"(학업 이외에) 본인이 경험한 경력사항 및 학내외 활동이 있다면 그 활동을 하게 된 계기는 무엇이었으며, 활동을 통해 무엇을 얻을 수 있었는지 기술하십시오.",87
"지금까지 살아오면서 가장 어렵고 힘들었던 일은 무엇이었으며, 그 일을 극복하기 위하여 어떠한 노력을 기울였는지 기술하십시오.",69
"대학교를 진학하면서 전공을 선택하게 된 이유는 무엇이었으며, 우리 회사에 지원하게 된 동기는 무엇인지 기술하십시오.",64
"입사 후, 회사생활을 하는데 도움이 될 수 있는 자신이 가진 경험이나 강점에 대하여 기술하십시오.",54
직무경험,4
하고 싶은 말,7
학업성취과정/연수/자격 준비 등 본인의 발전을 위해 노력한 과정은 무엇입니까?,43
자 기 소 개,7
"다른 판매사원들을 찾아가 상세 정보를 얻고, 경쟁업체를 방문하여 같은 제품의 설명 방식을 비교했습니다. 제조회사별 카탈로그를 보고 200개에 달하는 가전제품의 특징과 위치를 숙지했습니다.",104
생활신조 및 성격소 개,12
포상 및 특기사항,9
대대장상,4
높은 성적의 군복무평가,12
"‘자신’에 대한 기술 (성격, 가치관, 장단점 등) (300자 이내)",38
10년 후 나의 모습 (300자 이내),21
성격,2
"본인이 가장 관심을 가지고 있는 ICT기술은 무엇이며, 해당 기술과 SK주식회사 C&C의 연관성에 대해서 기술하여 주십시오.",69
새로운 방식을 시도하여 더 나은 결과를 달성한 경험에 대해 작성해 주십시오,41
"어떤 문제에 대해 소통을 통해 다수의 공감대를 이끌어내고, 시너지를 창출한 경험에 대해 작성해 주십시오",57
지원한 직무 수행을 위해 본인이 무엇을 어떻게 준비하고 노력해 왔는지 구체적으로 기술하십시오,51
IBK 기업은행에 지원하게 된 동기는 무엇입니까? 입행 후 만들고 싶은 IIBK 기업은행의 모습과 이를 위한 본인의 자세에 대해 설명해 주십시오.,81
IBK기업은행에 입행하고 싶은 이유와 은행원이 되기 위해 구체적으로 어떤 노력을 했는지 기술해 주십시오. 1000byte / 1000byte,78
"학급생활, 동아리 등 혼자가 아닌 팀을 이루어 했던 활동 중에서 팀이 어려움을 겪었던 일과 이를 극복하기 위해 노력했던 경험을 서술해 주시오. 999byte/1000byte",96
"지금까지 스스로 목표를 세워 시도했던 일 중 가장 기억에 남는 경험을 기술하고, 이를 통해 본인에게 어떤 변화가 있었는지 설명해 주십시오. 741byte/1000byte",94
"IBK기업은행의 핵심가치(창조적 열정, 최강의 팀웍, 신뢰와 책임, 고객의 행복) 중 본인을 가장 잘 나타낼 수 있는 항목 1개를 선택하고, 그 이유를 경험에 근거하여 설명해 주십시오. 981byte/1000byte",120
본인이 살아오면서 경험한 가장 큰 성과와 가장 큰 실패에 대해 말해보시오.,41
손해보험회사에 지원한 동기와 그 중에서 KB손해보험을 선택한 이유에 대해 설명하고 당사에서 본인이 기여할 수 있는 부분에 대해 서술하시오.,77
본인의 인생에 있어서 꿈은 무엇입니까? 그 꿈을 이루기 위해 본인이 했던 노력과 앞으로의 계획에 대해 말해보시오.,63
귀하가 전직을 결정하게 된 이유와 지원한 분야에서 본인이 하고 싶은 업무를 솔직히 상세하게 기술하십시오.,58
전 직장의 재직기간 중 귀하가 가장 열정적으로 수행하였던 업무 한 가지를 기술하시오.,47
귀하께서 희망하시는 연봉과 제시한 희망연봉의 근거를 전 직장의 수준과 비교하여 논리적으로 서술해 주십시오.,59
사용해 본 프로그래밍 언어와 해당 언어를 사용하여 개발해 본 프로젝트 혹은 개발 산출물을 설명해주세요. [프로젝트명(사용언어) - 한줄개요] 형식으로 작성해주세요.,91
성격의 장단점 및 특기,12
교내외 특별활동 및 수상경력,15
입사 후 목표,7
"지원 직무 관련 자신이 갖춘 역량에 대하여 구체적으로 기술하여 주십시오. (수강과목, 교내외 활동, 남다른 지식이나 재능 등) ( 700/ 700자 )",84
지원 사업부 또는 직무에 지원하게 된 동기와 본인이 지원하는 사업부의 시장 경쟁력을 높이기 위한 방안을 기술하여 주십시오. ( 699 / 700자),82
삼성취업을 선택한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오. (700자 이내),51
최근 사회이슈 중 중요하다고 생각되는 한가지를 선택하고 이에 관한 자신의 견해를 기술해 주시기 바랍니다.,58
"본인이 지원한 직무와 관련한 경험(금전적 보수 없음) 혹은 경력(금전적 보수 있음)에 대해 기술해 주시기 바랍니다. 다양한 활동(학교, 회사, 동아리, 동호회 등)을 통해 지원한 직무와 관련하여 쌓은 경험 또는 경력사항에 대해 작성해 주십시오. (1000자 이내)",147
"본인이 현실과 타협하거나 편법을 사용하지 않고, 원칙대로 일관되게 일을 처리해서 좋은 결과를 이끌어 냈던 사례를 아래 세부 항목에 따라 구체적으로 작성해 주십시오. (800자 이내)",101
조직 혹은 공동체의 목표를 달성하는 과정에서 지원자가 동료들보다 더 많이 노력하고 희생함으로써 팀원들 간 협력을 이끌어 낸 사례를 아래 세부 항목에 따라 작성해 주십시오. (800자 이내),105
"본인이 한국수력원자력의 인재상에 맞는 인재가 되기 위해 어떤 면에서 준비가 되어 있으며, 해당 능력을 개발하기 위해 어떠한 노력을 하였는지 구체적인 사례를 아래 세부 항목에 따라 작성해 주십시오. (800자 이내)",119
"단체(학교, 회사, 동아리, 동호회 등)에서 대화나 토론을 통해 상호 입장과 상황을 정확히 이해함으로써 건설적으로 문제를 해결해 본 경험에 대해 아래 세부 항목에 따라 작성해 주십시오. (800자 이내)",113
삼성취업을 선택한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오.,41
공동의 목표를 위해 협업하는 과정에서 소통의 부재로 인해 어려움을 겪었던 경험이 있습니까?,50
자신이 속했던 조직의 공동 목표를 달성하기 위해 노력하던 중 발생한 갈등상황을 슬기롭게,48
"학교나 사회에서 어떤 일(학업, 팀 프로젝트, 인턴활동 등)을 하면서 한정된 시간, 정보, 사람에도 불구하고 이를 이겨내고 주어진 업무나 과제를 성공적으로 마친 경험이 있습니까? 당시 상황을 기술하고, 어떤 방식으로 한정된 자원을 관리해 나갔는지 자세하게 행동 중심으로 기술해 주시기 바랍니다.",164
조직이 처한 상황이나 당면하고 있는 문제를 정확히 이해하고 이를 해결하기 위해 노력했던 경험이 있습니까? 당시 상황을 기술하고 어떤 노력을 기울였는지 자세하게 행동 중심으로 기술해 주시기 바랍니다.,110
"학교나 사회에서 속했던 조직(동아리, 프로젝트 팀 등)에서 개인적 손해를 감수하면서까지 맡은 일 또는 역할을 다하기 위해 노력했던 경험이 있습니까? 당시 상황을 기술하고 어떤 노력을 기울였는지 자세하게 행동 중심으로 기술해 주시기 바랍니다.",134
"대웅제약에 지원한 동기와, 귀하께서 대웅제약에 적합하다고 생각하는 이유를 설명해주십시오 [1자 이상 500자 이내]",64
귀하께서 생각하시는 “직장생활”의 의미를 작성해 주십시오 [1자 이상 500자 이내],47
귀하의 인생의 목표는 무엇입니까? 그리고 그 목표를 이루기 위해 어떻게 계획하여(준비하여) 실행하고 있는지 설명해 주십시오 [1자 이상 500자 이내],84
나와 다른 생각이나 성향을 가진 사람과 함께 어려움이나 갈등상황을 해결하며 공동의 목표를 달성했던 경험에 대해 기술해 주시기 바랍니다 [1자 이상 500자 이내],90
지원부문 본인의 역량,11
"단점의 극복-""과정의 중요성""",16
"강점-""효율적인 시간관리""",14
생활신조-“모든 변화는 나로부터 시작된다”,23
삼천리에 지원한 이유를 기술하시오. (800자),26
"해당 희망직무를 지원한 이유를 기술하고, 지원한 직무를 성공적으로 수행할 수 있다고 생각하는 이유를 본인의 경험에 기반하여 기술하십시오. (800자)",83
입사 후 본인이 이루고자 하는 최종목표를 단기/중기/장기로 나누어 구체적으로 기술하시오. (800자),56
KT&G그룹 및 지원 분야에 지원하게 된 동기 및 KT&G그룹에 대한 열정을 구체적으로 기술하여 주십시오(1000자 이내),68
학교생활,4
명품마루 판매원이 되기 위한 판매 경험,21
본인의 장점과 단점에 대해 작성하고 입사 후 어떻게 활용할 것인지 작성해주시기 바랍니다,48
"자신의 소신이나 좌우명을 기술하고, 평소 생활하면서 소신이나 좌우명이 흔들렸던 경험이 있으면 기술해 주십시오.",61
공동의 목표를 수행하기 위해서 다른 사람과 협력하여 문제를 해결했던 경험에 대해 기술해 주십시오.,54
지금까지 살아오면서 기존의 제도나 시스템을 지속적으로 개선함으로써 본인이 속한 조직에 새로운 변화를 적극적으로 주도하여 조직의 성과를 향상시켰던 경험에 대해 기술해 주십시오.,97
입사 10년 후의 모습을 그려보시오. 그 목표를 달성하는데 있어서 우리공사에 입사하는 것이 어떤 의미가 있는지 기술해 주십시오.,71
