name,length
SCM 직무를 통해 여러분은 어떻게 성장해 나가고 싶은지 자신의 목표를 구체적으로 작성 (500),54
경력사항 및 특이사항,11
"최근 한국철도공사의 주요 이슈에 대해 한 가지(선택)를 언급하고, 그것에 대한 본인의 의견을 기술하십시오.",59
"최근 3년 이내 본인이 주도적이고, 열정적으로 진행한 일에 대해 기술해 주십시오.",45
예상치 못했던 문제로 인해 계획대로 일이 진행되지 않았을 때 책임감을 가지고 적극적으로 끝까지 업무를 수행해내어 성공적으로 마무리했던 경험이 있으면 기술해 주십시오.,92
본인 성격의 장단점을 서술하여 주십시오,21
본인이 해당직무를 지원하게 된 이유는 무엇이며 직무를 잘 수행하기 위해 어떻게 준비해 왔는지 경험 전공 등을 연계하여 서술하여 주십시오.,76
자신의 경험 중 가장 힘들었던 일은 무엇이며 그 일을 극복하기 위해 어떤 노력을 다하였는지 서술하여 주십시오,60
영업팀 오더마감 & 물류팀 출고계획수립 & 생산관리팀 생산계획수립 지원,39
물류팀 출고 작업량 및 생산관리팀 자재소요량 관리,27
작은 실수가 큰 손실로 이어질 가능성,20
다른 부서와의 의사소통을 기반으로 이루어지는 협업의 중요성,32
"업무 프로세스의 신속, 정확한 숙지",19
"원자재, 부자재의 재고 효율화 및 비용절감",23
원활한 의사전달능력 활용,13
명확한 목표 설정,9
자신의 꿈 실현과 한라건설 입사와의 상관관계를 기술할 것.,32
어려운 조건을 극복한 사례와 얻은 교훈을 기술할 것. (군경험 제외),38
열악한 국내외 건설현장에 배치될 경우 자신만의 강점을 구체적(능력/어학)으로 기술할 것.,49
다양한 직업 중 은행원의 장점과 단점은 무엇이라 생각하십니까? [100자 이상 200자 이내],52
대구은행 입행을 위해 준비했거나 하고 있는 노력에 대하여 설명해 주십시오. [100자 이상 200자 이내],59
입행 후 가장 잘할 수 있는 직무와 이유를 설명해 주십시오. [100자 이상 200자 이내],51
"나의 학창시절 이야기를 들려주십시오.(학업, 대외활동, 교우관계 등) [100자 이상 700자 이내]",56
“부모님” 하면 떠오르는 생각과 “나의 가족” 이야기를 들려주십시오. [100자 이상 700자 이내],56
"직장생활을 통해 본인이 찾고자 하는 가치(value) 중 가장 중요하게 생각하는 것과, 그 이유를 설명해 주십시오. [100자 이상 700자 이내]",82
"대구은행의 인재상과 현재의 본인을 비교하시고, 대구은행이 귀하를 선택해야 하는 이유를 설명해 주십시오. [100자 이상 700자 이내]",75
"만약 바이오스페이스에 입사한다면, 본인이 가장 잘 할 수 있는 일이 무엇인지? 그 구체적인 분야와 그 이유를 서술하시오. (700자)",74
"주변사람들과 비교하였을 때, 남들과는 다른, 본인만의 특징을 구체적으로 서술하시오. (500자)",53
"지금까지의 인생 중, 가장 고생했다고 생각되는 경험을 서술하시오. (700자)",43
본인의 10년 후 모습에 대해 서술하시오. (700자),30
"자신의 노력으로 성취한 결과물을 쓰고, 그 결과물을 얻기 위해 노력한 점을 서술하시오. (700자)",55
성격의 장단점 [800자 이내],17
장래희망 [800자 이내],14
성격의 장·단점 및 보완노력에 대하여,20
자신의 책임하에 어떤 일을 시작부터 결과까지 주도적으로 진행했었던 경험에 대해 기술해 주시기 바랍니다.,57
다른 사람들과의 팀웍/협력/존중을 바탕으로 좋은 결과를 얻을 수 있었던 경험에 대해 기술해 주시기 바랍니다.,60
지금까지 살아오며 가장 성취감을 느낄 수 있었던 일은 무엇이었습니까? 그 일을 시작하게 된 동기와 달성을 위해 어떤 노력을 했었는지에 대해 기술해주시기 바랍니다.,90
국가/지역사회 혹은 다른 사람들을 위해 자발적으로 헌신했던 경험에 대해 기술해주시기 바랍니다.,52
교내 활동 경험 중 본인에게 있어 가장 어려웠던 문제 상황과 그 상황을 적절하게 해결하기 위해 노력했던 경험에 대해 구체적으로 기술해주십시오.(500자 이내),88
교내 활동 및 팀 과제를 수행하던 중 자신과는 다른 생각이나 행동양식을 가진 학우들과 함께하면서 겪은 어려움과 이를 극복했던 과정에 대해 구체적으로 기술해주십시오.(500자 이내),100
"교내활동 중 자신이 속했던 조직(동아리, 학급 등)의 운영 방식의 장점과 단점은 무엇이었으며 단점을 보완하기 위해 노력했던 경험에 대해 구체적으로 기술해주십시오.(500자 이내)",99
"학업 및 교내 활동 수행 중 자신에게 주어진 시간, 정보, 인력 등을 체계적으로 관리하고 활용하여 훌륭한 결과를 이뤄냈던 경험에 대해 구체적으로 기술해 주십시오.(500자 이내)",99
"단체활동, 봉사활동 혹은 영업과 관련된 사회경험이 있다면 말씀하여 주시고, 그 기간 동안 이룬 가장 큰 성취(성과)와 달성 과정에 대하여 말씀하여 주세요. [800 자 / 1600 Bytes 이내]",110
"우리은행 영업점과 다른 시중은행 영업점을 직접 방문하시고, 우리은행이 상대적으로 우수한 점과 개선해야 할 점을 비교 설명하여 주세요. [800 자 / 1600 Bytes 이내]",98
우리은행에서 근무하는데 지침서로 삼을 만한 책을 한 권 추천하고 선정이유에 대하여 말씀하여 주세요.(금융서적 제외) [500 자 / 1000 Bytes 이내],88
"본인 성격의 장,단점을 서술하여 주십시오.(200자)",29
현대제철 자동차그룹의 핵심가치(소통과 협력) 중 한 가지를 선택하여 자신을 PR하여 주십시오.(500자),58
자신의 성격 및 남다른 지식이나 재능에 대하여 기술하여 주십시오. (총 글자수 479 ),49
인생에서 성공했던 경험과 실패했던 경험을 기술하여 주십시오. (총 글자수 351 ),46
"입사 ~2년 : 신입사원으로서 조직에 융화되기 위해 최선을 다할 것이며, 선배들로부터 업무에 대한 KNOW-HOW를 빠르게 습득하겠습니다.",77
입사 ~8년 : 엔지니어로서 Process 최적화 프로그램을 개발하고 유지 관리 업무는 물론 환경적 측면까지 생각하여 업무를 수행하겠습니다.,78
입사 ~10년 : 개발한 프로그램을 기반으로 연속적인 생산설비 효율을 향상하고 최고 품질의 제품을 생산하여 효성의 경쟁력을 NO.1로 만들겠습니다.,82
우리회사를 알게 된 경로와 입사지원을 하게 된 동기는 무엇입니까?(700자 이내),45
"지원분야와 관련하여 어떤 역량을 보유하고 있으며, 이를 위해 어떤 노력들을 해 왔는지 사례를 들어 기술하여 주십시오.(700자 이내)",74
살아오면서 겪었던 가장 힘들었던 경험은 무엇이며 그것을 극복한 과정과 그 때의 느낌을 설명해 주십시오.(700자 이내),66
다른 사람들의 신뢰를 얻은 경험을 구체적으로 기술해 주십시오.(700자 이내),43
우리회사에 입사하여 이루고 싶은 목표는 무엇이며 그것을 이루기 위한 계획은 무엇인지 설명해 주십시오.(700자 이내),65
각종 활동사항 경력사항 보유기술,17
직무상의 강점,7
"여러분의 대학생활 중 가장 뛰어난 성과를 이뤄냈던 경험을 구체적으로 적어주세요. ① 그 일을 시작한 계기, ② 노력한 과정과 결과, ③ 최고라고 생각하는 이유를 반드시 포함하여 작성해 주세요. (1000자)",115
성격의 장단점 800바이트,14
Thinking that you know when in fact you don’t is a fatal mistake.,65
"AIA생명의 따뜻한, 부드러운 사원이 되겠습니다.",27
Wooribank – Do it until customers are satisfied.,48
Dongbu fire insurance encus claim adjustment – Customers who can have a right to say all.,89
Shinhancard – Do not forget the importance of credit.,53
여러분이 선택한 계열사와 해당 직무를 지원한 동기는 무엇인가요?,35
"여러분이 경험한 교내,외 활동에서 IT와 관련된 가장 의미있는 사례를 구체적으로 기술해 주세요. ① 가장 의미있다고 생각한 이유, ② 해당 사례에서 노력한 과정과 결과 ③ 해당 경험이 입사 후 기여할 수 있는 점은 무엇인지에 대하여 작성해 주세요.(2000자)",145
귀하를 자유롭게 소개해 주시기 바랍니다. (1000Bytes),34
귀하의 열정을 바탕으로 노력을 기울였던 경험을 기술해 주시기 바랍니다. (1000Bytes),51
단체의 일원으로서 주인정신을 가지고 거둔 성과가 있다면 기술해 주시기 바랍니다. (1000Bytes),56
"살아오면서 가족 이외의 다른 사람에게 신뢰를 받거나 즐거움을 주기 위해서 노력한 적이 있습니까? 어떠한 노력을 했으며, 혹시 손해를 감수하거나 기대 이상의 효과를 얻은 경험이 있다면 기술해 주십시오. (1000Bytes)",123
"작지만 강한 강소기업이 되기 위하여 귀하가 생각하는 이상적인 회사의 모습과 연차별(신입, 5년 후, 10년 후) 귀하의 역할을 구체적으로 제시하시기 바랍니다. (1000Bytes)",100
지원하신 분야를 선택한 이유와 지원직무를 잘 수행하기 위한 노력 및 경험을 구체적으로 작성해 주시기 바랍니다.,61
창의성을 발휘한 사례와 성과에 대하여 구체적으로 기술해 주시기 바랍니다.,40
"본인을 크게 변화시켰던 특별한 경험과, 이를 통해 배운점이 무엇인지.",38
인생에서 가장 중요하게 생각하는 가치 및 그 이유에 대하여 상세하게 작성하여 주시길 바랍니다. (700자 이내),62
"현대글로비스에 지원한 동기는 무엇이며, 왜 글로비스여야 하는지 명확하게 작성하여 주시길 바랍니다. (700자 이내)",64
본인이 희망 직무에 적합하다고 생각하는 이유 및 강점 등을 구체적인 사례를 근거로 작성하여 주시길 바랍니다. (700자 이내),70
"꼼꼼함: 인턴 시절, P/O 자동차부품 번호와 가격 등이 의논된 것과 맞는지 정확히 확인하고, 고객사로부터 받은 약 200여 개의 발주목록이 현지 공장에서 잘 생산, 배송되고 있는지 정기적으로 확인하였습니다.",116
"문제해결의지: 지연 시 곧바로 독일 직원분께 전화를 걸었습니다. 오후 4시부터 연락할 수 있었지만, 전화를 안 받는 경우가 많았습니다. 하지만 최단 납기를 위해 야근을 하더라도 끝까지 시도하여 문제를 해결했습니다.",119
"고객중심: 고객의 요구사항을 귀담아듣고, 그에 맞게 답변했습니다. 또한, 고객 희망납기일과 현지 생산일이 달랐을 때, 생산팀과 얘기하며 최대한 조율하였습니다.",88
"팀워크: 차장님, 과장님께서 많은 업무량으로 지쳐계실 때가 많았습니다. 그럴 때마다 최대한 일을 끝내고 업무를 도와드렸고, 유머로 힘이 되어주려고 노력했습니다.",89
"현대글로비스에서 본인의 최종적인 목표는 무엇이며, 구체적인 실천 계획을 3년, 5년, 10년 단위로 작성하여 주시길 바랍니다. (700자 이내)",80
"가장 심혈을 기울여 목표를 성취한 경험이 있다면 구체적인 동기, 행동, 결과 등을 기술하여 주십시오. (500자)",63
공동의 이익을 위하여 나에게 예상되는 손해(피해)를 감수하고 일을 수행한 경험과 그에 따른 결과 및 느낌을 기술하여 주십시오.,70
학교에서 습득한 전공 또는 기타 지식을 연계활용하여 최근 한전이 직면하고 있는 현안과 문제를 개선 또는 해결 할 수 있는 방안을 기술하여 주십시오.,82
타인과 함께 일을 할 때 귀하가 지닌 장점과 단점에 대해 상세히 기재하여 주십시오. (300자 이내),56
다양한 경험 중 중요하게 생각하는 경험을 한 가지 선택하여 서술하고 그를 통해 이룬 일에 대해 기재하여 주십시오. (300자 이내),73
"여러분의 대학생활 중 가장 뛰어난 성과를 이뤄냈던 경험을 구체적으로 적어주세요. ① 그 일을 시작한 계기, ② 노력한 과정과 결과, ③ 뛰어난 성과라고 생각하는 이유를 반드시 포함하여 작성해 주세요. (1000자)",119
"여러분이 예상하는 2020년 문화 트렌드는 무엇인가요? ① 3개의 키워드를 적고, ② 그렇게 생각한 이유, ③ 지원한 직무에 접목해서 어떻게 활용할 수 있을지에 대해 구체적으로 작성해 주세요. (700자)",114
사물인터넷의 일반화,10
창조 방송 시대,8
대학생활,4
문화트렌드,5
공동의 이익을 위하여 나에게 예상되는 손해(피해)를 감수하고 일을 수행한 경험과 그에 따른 결과 및 느낌을 기술하여 주십시오.(500자),76
"학교에서 습득한 전공 또는 기타 지식을 연계, 활용하여 최근 한전이 직면하고 있는 현안과 문제를 개선 또는 해결 할 수 있는 방안을 기술하여 주십시오.(500자)",90
한화L&C에 지원하게 된 동기는 무엇입니까?,24
